Title,Start Date,End Date,Apply Link,Status
Code Gear,2025-09-11T00:00:00+05:30,2025-09-18T00:00:00+05:30,https://unstop.com/hackathons/code-gear-jeppiaar-engineering-college-jec-chennai-1555930,open
IDEAFORGE'25,2025-09-11T18:47:50+05:30,2025-09-20T20:00:00+05:30,https://unstop.com/hackathons/ideaforge25-ks-rangasamy-college-of-technology-ksrct-namakkal-1555952,open
Hackathon,2025-09-08T11:11:40+05:30,2025-09-26T20:55:25+05:30,https://unstop.com/hackathons/hackathon-innovortex-30-igdtuw-delhi-1554785,open
Ideathon,2025-09-05T00:00:00+05:30,2025-09-25T23:59:00+05:30,https://unstop.com/hackathons/ideathon-innovortex-30-igdtuw-delhi-1552745,open
Reimagathon,2025-09-08T11:11:40+05:30,2025-09-25T10:00:32+05:30,https://unstop.com/hackathons/reimagathon-innovortex-30-igdtuw-delhi-1554778,open
TENET Hack 25,2025-09-11T17:00:00+05:30,2025-09-25T23:59:00+05:30,https://unstop.com/hackathons/tenet-hack-25-tenet-aissms-institute-of-information-technology-pune-maharashtra-1551923,open
Claude Solvathon,2025-09-10T00:00:00+05:30,2025-09-30T19:00:00+05:30,https://unstop.com/hackathons/claude-solvathon-tantrafiesta25-iiitn-1555451,open
Design-A-thon,2025-09-10T00:00:00+05:30,2025-09-30T23:59:00+05:30,https://unstop.com/hackathons/design-a-thon-tantrafiesta25-iiitn-1555462,open
Nasa Space Apps Challenge,2025-09-10T00:00:00+05:30,2025-10-03T00:00:00+05:30,https://unstop.com/hackathons/nasa-space-apps-challenge-institute-of-technology-nirma-university-itnu-ahmedabad-1555272,open
Hack O Spider,2025-09-10T00:00:00+05:30,2025-09-25T00:00:00+05:30,https://unstop.com/hackathons/hack-o-spider-vishveshwarya-group-of-institutions-vgi-greater-noida-uttar-pradesh-1555362,open
Smart Healthcare for the Elderly - Innovations towards SDG 3,2025-09-10T00:00:00+05:30,2025-09-15T23:59:00+05:30,https://unstop.com/hackathons/smart-healthcare-for-the-elderly-innovations-towards-sdg-3-srm-institute-of-science-and-technology-kattankula-1554914,open
Tech Zephyr CP contest,2025-09-10T00:00:00+05:30,2025-10-25T23:59:00+05:30,https://unstop.com/hackathons/tech-zephyr-cp-contest-indian-institute-of-technology-bhubaneswar-1555101,open
Vinhack,2025-09-10T00:00:00+05:30,2025-09-20T00:00:00+05:30,https://unstop.com/hackathons/vinhack-gravitas25-vit-vellore-1554920,open
The Mind Flayer,2025-09-09T00:00:00+05:30,2025-09-19T14:52:00+05:30,https://unstop.com/hackathons/the-mind-flayer-iimt-college-of-engineering-1554711,open
Innovators Day 24 Hours National Hackathon,2025-09-04T00:00:00+05:30,2025-09-18T09:16:00+05:30,https://unstop.com/hackathons/innovators-day-24-hours-national-hackathon-sri-manakula-vinayagar-engineering-college-smvec-puducherry-1552049,open
Code Mania Round 2 (2nd & 3rd year),2025-09-13T11:00:00+05:30,2025-09-13T13:30:00+05:30,https://unstop.com/hackathons/code-mania-round-2-2nd-3rd-year-university-of-engineering-management-uem-jaipur-1556769,expired
Code Mania Round 2 (2nd & 3rd year),2025-09-13T11:00:00+05:30,2025-09-13T13:30:00+05:30,https://unstop.com/hackathons/code-mania-round-2-2nd-3rd-year-university-of-engineering-management-uem-jaipur-1556801,expired
CodeMania Round 2 (4th Year),2025-09-13T11:00:00+05:30,2025-09-13T13:30:00+05:30,https://unstop.com/hackathons/codemania-round-2-4th-year-university-of-engineering-management-jaipur-rajasthan-1556067,expired
Logical Coding Challenge,2025-09-11T19:31:42+05:30,2025-09-13T17:33:05+05:30,https://unstop.com/hackathons/logical-coding-challenge-rajeev-gandhi-memorial-college-of-engineering-and-technology-rgmcet-kurnool-1556040,expired
Tamizh-A-Thon' 1.0,2025-09-09T19:15:00+05:30,2025-09-12T16:00:00+05:30,https://unstop.com/hackathons/tamizh-a-thon-10-srm-institute-of-science-and-technology-kattankulathur-chennai-1554667,expired
IDEATION'25,2025-09-08T00:00:00+05:30,2025-09-15T00:00:00+05:30,https://unstop.com/hackathons/ideation25-sies-graduate-school-of-technology-navi-mumbai-maharashtra-1553925,expired
CodeRush - 8th Weekly Coding Contest,2025-09-07T00:00:00+05:30,2025-09-14T08:30:00+05:30,https://unstop.com/hackathons/coderush-8th-weekly-coding-contest-chandigarh-group-of-colleges-landran-1553575,expired
Spark Tank 3.0,2025-08-27T00:00:00+05:30,2025-09-10T23:59:38+05:30,https://unstop.com/hackathons/spark-tank-30-sri-vishnu-institute-of-technology-bhimavaram-andhra-pradesh-1547693,expired
One day Innovating for SDG Acceleration 2030,2025-09-02T00:00:00+05:30,2025-09-13T00:00:00+05:30,https://unstop.com/hackathons/one-day-innovating-for-sdg-acceleration-2030-egs-pillay-engineering-college-1550550,expired
IntelliHack,2025-09-05T20:00:15+05:30,2025-09-11T23:59:00+05:30,https://unstop.com/hackathons/intellihack-dhirubhai-ambani-institute-of-information-and-communication-technology-da-iict-gandhinagar-1552452,expired
MedhaManthan (Hackathon – Veda 2025),2025-09-04T00:00:00+05:30,2025-09-14T00:00:00+05:30,https://unstop.com/hackathons/medhamanthan-hackathon-veda-2025-veda-fest-aditya-university-surampalam-1551582,expired
Hack The Future 2.0 – National Hackathon | Tula’s Institute,2025-09-02T00:00:00+05:30,2025-09-13T23:59:00+05:30,https://unstop.com/hackathons/hack-the-future-20-national-hackathon-tulas-institute-tulas-institute-the-engineering-and-management-college--1550623,expired
